First Name,Last Name,Twitter Handle,St/Dis,Party
Tim,Walberg,@RepWalberg,MI07,R
Jackie,Walorski,@RepWalorski,IN02,R
Michael,Waltz,@RepWaltzPress,FL06,R
Debbie,Wasserman Schultz,@RepDWStweets,FL23,D
Maxine,Waters,@RepMaxineWaters,CA43,D
Bonnie,Watson Coleman,@RepBonnie,NJ12,D
Randy,Weber,@TXRandy14,TX14,R
Daniel,Webster,@RepWebster,FL11,R
Peter,Welch,@PeterWelch,VT00,D
Brad,Wenstrup,@RepBradWenstrup,OH02,R
Bruce,Westerman,@RepWesterman,AR04,R
Jennifer,Wexton,@RepWexton,VA10,D
Susan,Wild,@RepSusanWild,PA07,D
Nikema,Williams,@RepNikema,GA05,D
Roger,Williams,@RepRWilliams,TX25,R
Frederica,Wilson,@RepWilson,FL24,D
Joe,Wilson,@RepJoeWilson,SC02,R
Robert,Wittman,@RobWittman,VA01,R
Steve,Womack,@rep_stevewomack,AR03,R
John,Yarmuth,@RepJohnYarmuth,KY03,D
Don,Young,@repdonyoung,AK00,R
Lee,Zeldin,@RepLeeZeldin,NY01,R
